               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078518,             0.03746,            0.026326,             0.31048,             0.26636,             0.26985,              0.1077,            0.059974,            0.019119,             0.01366,            0.070067,           0.0033259,           0.0033259
                   1,            0.059603,            0.035352,            0.012371,             0.45821,             0.34259,             0.32906,             0.13782,            0.056266,            0.019283,           0.0095629,            0.039753,           0.0063453,           0.0063453
                   2,            0.057426,            0.035452,            0.011129,             0.39389,             0.34751,             0.29932,             0.11698,            0.056746,            0.020023,            0.011031,            0.009125,           0.0090504,           0.0090504
                   3,            0.056122,            0.036042,            0.010953,             0.45422,              0.3736,             0.36085,             0.14566,            0.055924,            0.019232,           0.0080279,           0.0085857,           0.0085857,           0.0085857
                   4,            0.054566,            0.035404,            0.010345,             0.49636,             0.37609,             0.38267,             0.16075,            0.054032,            0.019081,           0.0074241,           0.0085857,           0.0085857,           0.0085857
                   5,            0.053055,            0.035085,           0.0090062,             0.48839,             0.40647,             0.39534,             0.16549,            0.053776,            0.018723,           0.0063518,           0.0081143,           0.0081143,           0.0081143
                   6,            0.052392,            0.035281,           0.0087467,             0.52055,             0.38851,             0.39033,             0.16803,            0.053201,            0.019201,            0.008536,           0.0076429,           0.0076429,           0.0076429
                   7,            0.051372,            0.034856,           0.0083837,             0.50158,             0.42681,             0.41636,             0.17489,            0.052425,            0.018548,           0.0058698,           0.0071714,           0.0071714,           0.0071714
                   8,            0.050418,            0.034856,           0.0074709,             0.50455,             0.42856,              0.4181,             0.17679,            0.052154,            0.018901,           0.0056803,              0.0067,              0.0067,              0.0067
                   9,            0.049761,            0.034205,           0.0074629,             0.51297,             0.41087,             0.42239,             0.18101,            0.052296,            0.018699,           0.0055077,           0.0062286,           0.0062286,           0.0062286
                  10,            0.049378,            0.034173,           0.0069631,              0.5447,             0.42629,             0.44951,             0.19474,            0.051699,            0.018335,           0.0047962,           0.0057571,           0.0057571,           0.0057571
                  11,            0.048915,            0.033917,           0.0067716,             0.51433,             0.42316,             0.44295,             0.19726,            0.051108,            0.018245,           0.0048077,           0.0052857,           0.0052857,           0.0052857
                  12,            0.048227,            0.033764,           0.0061577,             0.54029,             0.42197,             0.43622,              0.1917,            0.051002,            0.018647,           0.0050392,           0.0048143,           0.0048143,           0.0048143
                  13,            0.047444,            0.033294,           0.0058618,             0.52843,             0.43268,             0.44537,             0.19597,            0.050848,             0.01848,           0.0054324,           0.0043429,           0.0043429,           0.0043429
                  14,            0.046872,            0.033313,           0.0056015,             0.56453,             0.42972,              0.4601,             0.20234,            0.050968,            0.018364,            0.004843,           0.0038714,           0.0038714,           0.0038714
                  15,            0.046441,            0.033169,           0.0052361,             0.55053,             0.44586,             0.46312,             0.20943,            0.049986,            0.018383,           0.0044035,              0.0034,              0.0034,              0.0034
                  16,             0.04578,            0.032381,           0.0050102,             0.53678,             0.45558,              0.4615,              0.2057,            0.050444,            0.018322,           0.0046756,           0.0029286,           0.0029286,           0.0029286
                  17,            0.044821,            0.032273,           0.0047311,             0.54905,             0.45029,             0.46709,              0.2122,            0.050314,            0.018354,           0.0043893,           0.0024571,           0.0024571,           0.0024571
                  18,             0.04433,            0.032117,           0.0044583,             0.56615,             0.45306,              0.4714,               0.212,            0.049864,            0.018241,            0.004756,           0.0019857,           0.0019857,           0.0019857
                  19,             0.04396,            0.031869,            0.004077,             0.56196,             0.44994,             0.47101,              0.2132,             0.04985,             0.01833,           0.0043515,           0.0015143,           0.0015143,           0.0015143
                  20,            0.043278,            0.031525,           0.0040033,              0.5676,             0.46809,             0.47834,             0.21843,            0.049554,            0.018192,           0.0046225,           0.0010429,           0.0010429,           0.0010429
